model,n,mean_phase1_l2,median_phase1_l2,mean_best_l2,median_best_l2,std_best_l2,mean_IR_phase3,median_IR_phase3,mean_n_gens,mean_final_ssim,mean_runtime_sec
robust,490,4.9912,4.8357,3.9247,3.7799,2.0454,0.2191,0.1774,16.649,0.7926,8.4836
standard,499,2.0647,2.0012,1.5832,1.4437,0.8725,0.2228,0.2062,16.4569,0.9461,7.7421
