model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
standard,C,corruption,lam28_xi1.0_tau3,1,8,4.066335558622595,2.7082003615912114,134,jpeg,2.7082003615912114,2.9940580685680365,3.5882021344470036,2.5760450348330206,2.5902188401904884,0.04879820881514929,0.36649472290338625,4,1392
standard,D,corruption,lam14_xi0.75_tau3,1,8,4.066335558622595,2.7082003615912114,134,jpeg,2.7082003615912114,2.9940580685680365,3.5882021344470036,1.9096225462705383,1.9096225462705383,0.2948739785454671,0.5303824490772248,23,1379
robust,A,uniform,lam28_xi1.0_tau3,1,8,10.569477797154748,10.569477797154748,27,,,,,8.971385811405561,8.999537955273274,0.15119876463332804,0.15119876463332804,17,1492
robust,B,uniform,lam14_xi0.75_tau3,1,8,10.569477797154748,10.569477797154748,27,,,,,9.860323052826958,9.870962805234228,0.06709458668986384,0.06709458668986384,6,1499
robust,C,corruption,lam28_xi1.0_tau3,1,8,10.569477797154748,12.295988972785665,52,fractal,,,12.295988972785665,9.15894876215621,9.168292436194578,0.2551271164582669,0.13345304868119834,16,1463
robust,D,corruption,lam14_xi0.75_tau3,1,8,10.569477797154748,12.295988972785665,52,fractal,,,12.295988972785665,8.89602733941608,8.906057471112357,0.276509814777373,0.15832858442534917,7,1474
standard,A,uniform,lam28_xi1.0_tau3,2,8,2.013202805975449,2.013202805975449,27,,,,,1.1712138527534315,1.1712138527534315,0.4182335484149358,0.4182335484149358,22,1475
standard,B,uniform,lam14_xi0.75_tau3,2,8,2.013202805975449,2.013202805975449,27,,,,,0.019163972829921286,0.019163972829921286,0.9904808533084495,0.9904808533084495,30,1491
standard,C,corruption,lam28_xi1.0_tau3,2,8,2.013202805975449,0.046711644837304965,123,fractal,1.214226359505521,1.4219009325603402,0.046711644837304965,0.008766271280487738,0.008766271280487738,0.8123322072896307,0.9956456094465652,25,1380
standard,D,corruption,lam14_xi0.75_tau3,2,8,2.013202805975449,0.046711644837304965,123,fractal,1.214226359505521,1.4219009325603402,0.046711644837304965,0.012411708402621478,0.012411708402621478,0.7342909151272444,0.9938348444747931,33,1385
robust,A,uniform,lam28_xi1.0_tau3,2,8,7.736098540887996,7.736098540887996,27,,,,,7.630650262249814,7.649467637848164,0.013630679350948116,0.013630679350948116,16,1486
robust,B,uniform,lam14_xi0.75_tau3,2,8,7.736098540887996,7.736098540887996,27,,,,,7.736098540887996,7.7905117138905124,0.0,0.0,8,1499
robust,C,corruption,lam28_xi1.0_tau3,2,8,7.736098540887996,9.616166976782663,52,fractal,,,9.616166976782663,7.255030256870118,7.255030256870118,0.24553824050822845,0.0621848702514922,4,1474
robust,D,corruption,lam14_xi0.75_tau3,2,8,7.736098540887996,9.616166976782663,52,fractal,,,9.616166976782663,6.668389305492474,6.668389305492474,0.30654393568740257,0.13801649885304634,17,1462
standard,A,uniform,lam28_xi1.0_tau3,3,0,0.9449705165122023,0.9449705165122023,27,,,,,0.8556341622044124,0.855705945234166,0.09453877422284251,0.09453877422284251,6,1499
standard,B,uniform,lam14_xi0.75_tau3,3,0,0.9449705165122023,0.9449705165122023,27,,,,,0.9449705165122023,0.9472034477191187,0.0,0.0,4,1499
standard,C,corruption,lam28_xi1.0_tau3,3,0,0.9449705165122023,0.7248309620860584,34,fractal,,,0.7248309620860584,0.691432498810497,0.6966501867066853,0.04607758915187737,0.2683025695208888,4,1492
standard,D,corruption,lam14_xi0.75_tau3,3,0,0.9449705165122023,0.7248309620860584,34,fractal,,,0.7248309620860584,0.4453481318755034,0.4453481318755034,0.3855834599093358,0.528717431820792,25,1482
