model,n,mean_phase1_l2,median_phase1_l2,mean_best_l2,median_best_l2,std_best_l2,mean_IR_phase3,median_IR_phase3,mean_n_gens,mean_final_ssim,mean_runtime_sec
robust,8,5.8488,5.1321,5.5299,5.1321,2.8485,0.0331,0.0003,1.375,0.667,0.8999
standard,8,2.3399,2.5023,2.2594,2.3849,1.1356,0.0404,0.001,1.25,0.9151,0.8343
